Time [s],Voltage [V],Current [A],Cell Temperature [K],Separator Temperature [K]
450.0,4.037697817715142,2.0,298.15,298.15
451.0,4.037681670220243,2.0,298.15,298.15
452.0,4.037665578841342,2.0,298.15,298.15
453.0,4.037649542208329,2.0,298.15,298.15
454.0,4.0376335589573005,2.0,298.15,298.15
455.0,4.037617627730691,2.0,298.15,298.15
456.0,4.037601747177061,2.0,298.15,298.15
457.0,4.037585915951283,2.0,298.15,298.15
458.0,4.0375701327142846,2.0,298.15,298.15
459.0,4.03755439613328,2.0,298.15,298.15
460.0,4.037538704881539,2.0,298.15,298.15
461.0,4.037523057638474,2.0,298.15,298.15
462.0,4.037507453089587,2.0,298.15,298.15
463.0,4.037491889926448,2.0,298.15,298.15
464.0,4.037476366846723,2.0,298.15,298.15
465.0,4.037460882554021,2.0,298.15,298.15
466.0,4.037445435758043,2.0,298.15,298.15
467.0,4.037430025174475,2.0,298.15,298.15
468.0,4.0374146495249095,2.0,298.15,298.15
469.0,4.037399307536954,2.0,298.15,298.15
470.0,4.037383997944139,2.0,298.15,298.15
471.0,4.037368719485855,2.0,298.15,298.15
472.0,4.037353470907456,2.0,298.15,298.15
473.0,4.037338250960108,2.0,298.15,298.15
474.0,4.037323058400853,2.0,298.15,298.15
475.0,4.037307891992551,2.0,298.15,298.15
476.0,4.037292750503907,2.0,298.15,298.15
477.0,4.0372776327093955,2.0,298.15,298.15
478.0,4.037262537389276,2.0,298.15,298.15
479.0,4.0372474633295425,2.0,298.15,298.15
480.0,4.037232409321961,2.0,298.15,298.15
481.0,4.037217374164001,2.0,298.15,298.15
482.0,4.037202356658815,2.0,298.15,298.15
483.0,4.037187355615273,2.0,298.15,298.15
484.0,4.037172369847883,2.0,298.15,298.15
485.0,4.0371573981768165,2.0,298.15,298.15
486.0,4.037142439427872,2.0,298.15,298.15
487.0,4.037127492432448,2.0,298.15,298.15
488.0,4.037112556027567,2.0,298.15,298.15
489.0,4.0370976290557525,2.0,298.15,298.15
490.0,4.03708271036521,2.0,298.15,298.15
491.0,4.0370677988095505,2.0,298.15,298.15
492.0,4.037052893248026,2.0,298.15,298.15
